product_id,product_name,category,subcategory,unit_price,unit_cost,processing_timestamp
P070,Printer Paper Model 70,Office Supplies,Printer Paper,10141.2,7906.53,2026-07-21T13:08:31
P071,Headphones Model 71,Electronics,Headphones,54180.31,31582.72,2026-07-21T13:08:31
P072,Sofa Model 72,Furniture,Sofa,50034.87,36787.94,2026-07-21T13:08:31
P073,T-Shirt Model 73,Clothing,T-Shirt,1124.74,756.57,2026-07-21T13:08:31
P074,Cooking Oil Model 74,Grocery,Cooking Oil,70172.93,44191.19,2026-07-21T13:08:31
P075,Pen Set Model 75,Office Supplies,Pen Set,39019.9,26120.89,2026-07-21T13:08:31
P076,Smartwatch Model 76,Electronics,Smartwatch,25719.67,20523.76,2026-07-21T13:08:31
P077,Chair Model 77,Furniture,Chair,66427.49,38518.57,2026-07-21T13:08:31
P078,Jeans Model 78,Clothing,Jeans,84748.18,66729.36,2026-07-21T13:08:31
P079,Tea Model 79,Grocery,Tea,24189.5,18770.13,2026-07-21T13:08:31
P080,Stapler Model 80,Office Supplies,Stapler,9117.15,7473.86,2026-07-21T13:08:31
P081,Smartphone Model 81,Electronics,Smartphone,56609.95,41072.43,2026-07-21T13:08:31
P082,Desk Model 82,Furniture,Desk,7760.23,6147.65,2026-07-21T13:08:31
P083,Jacket Model 83,Clothing,Jacket,2542.64,1563.78,2026-07-21T13:08:31
P084,Snacks Model 84,Grocery,Snacks,12225.42,9287.99,2026-07-21T13:08:31
P085,Notebook Model 85,Office Supplies,Notebook,16911.5,13459.39,2026-07-21T13:08:31
P086,Laptop Model 86,Electronics,Laptop,55810.37,31240.63,2026-07-21T13:08:31
P087,Bookshelf Model 87,Furniture,Bookshelf,541.1,305.15,2026-07-21T13:08:31
P088,Shoes Model 88,Clothing,Shoes,51535.17,39496.56,2026-07-21T13:08:31
P089,Rice Model 89,Grocery,Rice,20337.91,15850.15,2026-07-21T13:08:31
P090,Printer Paper Model 90,Office Supplies,Printer Paper,4940.14,3785.43,2026-07-21T13:08:31
P091,Headphones Model 91,Electronics,Headphones,78868.39,59819.25,2026-07-21T13:08:31
P092,Sofa Model 92,Furniture,Sofa,59364.42,46081.91,2026-07-21T13:08:31
P093,T-Shirt Model 93,Clothing,T-Shirt,3489.65,2109.43,2026-07-21T13:08:31
P094,Cooking Oil Model 94,Grocery,Cooking Oil,10688.52,7334.71,2026-07-21T13:08:31
P095,Pen Set Model 95,Office Supplies,Pen Set,63361.38,45626.73,2026-07-21T13:08:31
P096,Smartwatch Model 96,Electronics,Smartwatch,72358.05,42829.27,2026-07-21T13:08:31
P097,Chair Model 97,Furniture,Chair,62464.02,37610.91,2026-07-21T13:08:31
P098,Jeans Model 98,Clothing,Jeans,23072.83,17112.52,2026-07-21T13:08:31
P099,Tea Model 99,Grocery,Tea,83318.99,59582.81,2026-07-21T13:08:31
P100,Stapler Model 100,Office Supplies,Stapler,4708.17,3372.95,2026-07-21T13:08:31
